,smiles,solv_oxidation_potential
05STJI,NC1=CC(=O)c2ccccc2C1=O,1.763
05UOUM,CC1=CC(=NOC(C)C(=O)Nc2ccc(Br)cc2)C=CC1(C)C(Cl)(Cl)Cl,1.534
05VXMI,COC(=O)C1=C(c2ccccc2)OC2(C=CC(=O)C=C2)C1,1.595
05SPVX,CN1C(C(Cl)(Cl)Cl)=NS(=O)(=O)c2ccccc21,2.366
05RPDA,CC1(C)NC2CC3(O)C(=Nc4ccccc43)C3(C)CC(O)C1CC23,0.855
05IRLJ,CCOC1(c2ccccc2C)C2C=CC=CC1C=C2,1.434
05BECV,CCOC1=CC=CC2C=CC1C2c1ccc(C)cc1,0.898
05BODI,CC(C)(C)B1C=CN(C(C)(C)C)C(c2ccc(C3=CB(C(C)(C)C)C=CN3C(C)(C)C)cc2)=C1,1.716
05JZHB,C=CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5c(OC)c6c(c(CC=C(C)C)c5OC431)OC(C)(C)C=C6)C2=O,1.09
05IRLU,CC(C)(C)B1C=CN(C(C)(C)C)C(c2ccccc2)=C1,1.642
05DZXH,O=C1C=CC(=O)C(c2ccc(I)cc2)=C1,2.236
05IYUP,CC(C)(C)OC(=O)C1(C#N)C=C1c1ccc(Br)cc1,2.218
05WGBN,COC1=CC(=O)C(c2cc(OC)ccc2OC)=CC1(OC)OC,1.089
05TWXU,COC1=CC(=O)C(OC)(OC)C=C1c1cc(OC)ccc1OC,1.161
05TPTO,COC1=CC(=O)C(c2cc(OC)ccc2OC)=CC1=O,1.206
05DLTK,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2c1ccc(O)cc1,1.277
05MVIJ,CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc2c(c1)OCO2,1.181
05UXPW,CC(=O)Oc1ccc2c(c1)C(C)=CC(C)(C)N2,0.627
05QUYQ,CCOC(=O)C1=C(N)N2CCCSC2=C([N+](=O)[O-])C1c1ccc(Cl)cc1,1.217
05UUQG,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(O)cc1,1.025
05JLNR,Clc1ccc2c(c1)CC1CN3CCCCC3C1=C2,0.649
05FLMC,Clc1ccc2c(c1)CC1CN3CCCCCC3C1=C2,0.714
05PEQZ,C=CCOc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)cc1,1.531
05BYRG,COC(=O)C1=C(C)NC(C)=C(C#N)C1c1ccc(SC)cc1,1.561
05EAAS,O=C1C=CC2=NNc3ccccc3OCCOCCOC2=C1,1.4
05FYHH,CC12CCC(O)C(C)(C)C1CCC13C=C(COC(=O)c4ccc([N+](=O)[O-])cc4)C(C=C12)C(=O)C3=O,1.867
05VFMA,CC12CCC(O)C(C)(C)C1CCC13C(=O)C(=O)C(C=C1c1ccccc1)C=C32,1.734
05FIYL,CC12CCC(O)C(C)(C)C1CCC13C(=O)C(=O)C(C=C1c1ccc(F)cc1)C=C32,1.697
05HSWD,CC12CCC(O)C(C)(C)C1CCC13C(=O)C(=O)C(C=C12)c1ccccc13,1.836
05ZIEN,N#CCCOC1=C(Cl)C(=O)c2cccnc2C1=O,2.66
05GJIV,O=C1C(OCC(F)(F)F)=C(OCC(F)(F)F)C(=O)c2ncccc21,1.954
05QPSP,N#CC1=C(N)C(C#N)(C#N)C(c2ccccc2Cl)C2=C1CCCCCC2,1.121
05WBSV,CC1=C(SCCC(=O)O)C(=O)c2ccccc2C1=O,1.921
05LCLA,O=C(O)CCSC1=CC(=O)C(=O)c2ccccc21,1.955
05VQGW,CC(C)C12CC(CC3c4ccccc4C=CC31)C(=O)O2,1.511
05SLTD,COC(=O)C(C)SC1=C(SC(C)C(=O)OC)C(=O)c2ccccc2C1=O,1.554
05EGPP,CC1=C(SC(C)C(=O)O)C(=O)c2ccccc2C1=O,1.951
05SFQB,O=C1C=C2NCCN=C2c2ccccc21,1.432
05XKCN,CCCCNC1=CC(=O)c2c(O)ccc(NCCCC)c2C1=O,1.161
05QHWS,COc1ccc2c(c1)C=CC1(C)C2CCC2(C)C(OC(=O)CBr)CCC12,1.278
05PIIN,CSN=C1C(C)=CC(=Nc2c(C)cccc2C)C=C1C,0.85
05LYTS,N#CC=C1C=C(c2ccc(Br)cc2)N2CCNC2=C1[N+](=O)[O-],0.981
05QBKS,COc1ccc2c(c1)C(O)=C(C(=O)C(F)(F)F)C2,1.631
05QHOD,CC1(C)CC2=C(O1)c1ccccc1C(=O)C2=O,1.72
05RDDK,COC1=CC(=CNc2ccccc2O)C(=O)C=C1,0.901
05YHWA,CC(=[NH+]C1=C([O-])c2ccccc2C1=O)N(C)C,0.415
05ZSXL,CNC(C)=[NH+]C1=C([O-])c2ccccc2C1=O,0.441
05DCTR,CC(C)C1=C(C=C(C#N)C#N)C(C)(C)c2ccccc21,1.681
05BQXN,CC(C)C1=C(O)C(=O)C2=C(C1=O)C1(Oc3c(c4c(c(O)c3C(C)C)C(=O)C(O)=C3C(C)(C)CCCC34C)O1)C(=O)C1C(C)(C)CCCC21C,1.09
05QASW,COc1ccc(C2C3=C(CC(C)(C)CC3=O)NC3=C2C(=O)CC(C)(C)C3)cc1,1.121
05IASV,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1ccccn1,1.146
05WLWH,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccn1,0.983
05SSDK,CC1(C)CC(=O)C2=C(C1)OC(N)=C([N+](=O)[O-])C2c1ccc(F)cc1,1.77
05QMLQ,COc1ccc2c(c1O)C13CCN(C)C1C(=O)C=C3C=C2,0.498
05QMWG,CCOC(=O)C1=CC(c2ccccc2Br)C(C(=O)OCC)=C(C)O1,1.669
05QTIM,CC1=C(F)C(C)=[N+]2C1=C(C)c1c(C)cc(C)n1[B-]2(F)F,1.086
05GHOX,CC1=C(C(F)(F)F)C(C)=[N+]2C1=C(C)c1c(C)cc(C)n1[B-]2(F)F,1.281
05SETR,CC1=C(C(F)(F)F)C(C)=[N+]2C1=Cc1c(C)c(C(F)(F)F)c(C)n1[B-]2(F)F,1.486
05CZGB,CC1=C(C(F)(F)F)C(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F,1.305
05DAQD,Cc1cc(C)n2c1C=C1C=CC(F)=[N+]1[B-]2(F)F,1.311
05HFAP,NC1=C(Br)C(=O)C(=O)c2ccccc21,1.563
05LCQH,CCOC(=O)C1=C(CO)NC(C)=C(C#N)C1c1ccccc1Cl,1.146
05XOGA,CC1=C(C(=O)OCCBr)C(c2cccc([N+](=O)[O-])c2)C([N+](=O)[O-])=C(C)N1,1.507
05URNL,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccco1,1.129
05GOGG,CC1=C(C#N)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCCBr)=C(C)N1,1.313
05BJZH,CCC1=C(C)C(C=C2NC(=O)C(C)=C2CC)=NC1=Cc1[nH]c2c(c1C)C(=O)CC2=C1N=C(C(C)=O)C(C)C1CCC(=O)OC,1.012
05GTGD,CCOC(=O)N1N2C(C)=Nc3cc4c(cc3C2(C)CC1(C)CC(C)=O)OCO4,0.583
